id,months,label,active,created_at,updated_at
b42c7239-cf34-4270-aab1-46f9f0d430a7,1,1 mes,True,2026-05-09T15:01:26.232132+00:00,2026-05-09T15:01:26.232132+00:00
b5235cc4-c9d7-4718-a8d0-e9f052544e1a,3,3 meses,True,2026-05-09T15:01:26.232132+00:00,2026-05-09T15:01:26.232132+00:00
5a9658a2-91de-468c-afa5-c94570552a1f,6,6 meses,True,2026-05-09T15:01:26.232132+00:00,2026-05-09T15:01:26.232132+00:00
4bf08d7b-0a94-4371-9e99-9479ffd72bbd,12,12 meses,True,2026-05-09T15:01:26.232132+00:00,2026-05-09T15:01:26.232132+00:00
